player,bpm,obpm,dbpm,vorp,age,ts_pct,mp,tov_pct,trb_pct,usg_pct,fg3a_per_fga_pct,fta_per_fga_pct,team,year,fg3_pct,fg2_pct,ft_pct
Jodie Meeks,-3.0,-3.1,0.1,-0.1,22,0.454,486,9.7,8.4,19.2,0.463,0.119,MIL,2010,0.28,0.432,0.857
Dan Gadzuric,-4.5,-5.2,0.7,-0.2,31,0.44,314,13.0,16.6,16.6,0.0,0.281,MIL,2010,0.0,0.438,0.4
Roko Ukić,-1.8,-1.1,-0.7,0.0,25,0.574,97,14.7,1.8,19.1,0.4,0.367,MIL,2010,0.25,0.611,0.818
Royal Ivey,-3.3,-7.4,4.2,0.0,28,0.381,90,16.6,5.0,18.2,0.393,0.179,MIL,2010,0.182,0.412,0.6
Francisco Elson,-5.7,-4.9,-0.9,-0.1,33,0.36,62,6.7,11.9,10.9,0.0,0.154,MIL,2010,0.0,0.308,1.0
Primož Brezec,-6.0,-5.4,-0.6,-0.1,30,0.474,59,11.9,12.5,12.9,0.0,0.308,MIL,2010,0.0,0.538,0.0
Darnell Jackson,-27.9,-17.6,-10.3,-0.1,24,0.2,9,0.0,12.6,25.2,0.2,0.0,MIL,2010,0.0,0.25,0.0
LeBron James,11.8,9.1,2.8,10.3,25,0.604,2966,12.3,11.1,33.5,0.253,0.506,CLE,2010,0.333,0.56,0.767
Mo Williams,1.8,2.2,-0.4,2.3,27,0.58,2359,15.5,5.2,22.0,0.434,0.232,CLE,2010,0.429,0.452,0.894
Anthony Parker,-0.3,-1.0,0.7,1.0,34,0.576,2289,12.1,6.0,12.0,0.549,0.2,CLE,2010,0.414,0.458,0.789
Anderson Varejão,1.3,0.1,1.2,1.8,27,0.598,2166,11.0,15.9,13.1,0.011,0.375,CLE,2010,0.2,0.576,0.663
J.J. Hickson,-1.4,-1.0,-0.4,0.3,21,0.58,1691,13.4,14.1,18.9,0.002,0.312,CLE,2010,0.0,0.555,0.681
Delonte West,0.7,-0.3,1.0,1.0,26,0.53,1500,15.3,6.7,18.3,0.177,0.326,CLE,2010,0.325,0.471,0.81
Zydrunas Ilgauskas,-3.8,-3.1,-0.7,-0.6,34,0.491,1339,11.6,15.3,19.0,0.053,0.231,CLE,2010,0.478,0.441,0.743
Shaquille O'Neal,-0.2,-1.0,0.8,0.6,37,0.565,1240,15.7,17.0,25.1,0.002,0.488,CLE,2010,0.0,0.567,0.496
Daniel Gibson,0.0,0.0,0.0,0.5,23,0.613,1068,11.1,4.1,14.2,0.556,0.183,CLE,2010,0.477,0.454,0.694
Jamario Moon,1.4,-0.2,1.6,0.9,29,0.555,1052,7.9,10.8,12.8,0.405,0.182,CLE,2010,0.32,0.558,0.8
Antawn Jamison,0.0,0.0,0.0,0.4,33,0.53,811,7.5,14.2,23.1,0.235,0.247,CLE,2010,0.342,0.529,0.506
Jawad Williams,-4.1,-3.1,-1.0,-0.4,26,0.496,742,7.4,6.7,15.3,0.451,0.218,CLE,2010,0.323,0.451,0.711
Leon Powe,-5.8,-4.6,-1.1,-0.2,26,0.515,236,12.5,15.4,17.3,0.0,1.286,CLE,2010,0.0,0.429,0.587
Danny Green,-0.2,-0.9,0.7,0.1,22,0.48,115,10.7,8.8,18.9,0.564,0.154,CLE,2010,0.273,0.529,0.667
Darnell Jackson,-10.5,-9.3,-1.2,-0.2,24,0.38,114,32.0,10.4,16.6,0.12,0.24,CLE,2010,0.333,0.318,0.667
Sebastian Telfair,-4.7,-2.0,-2.7,-0.1,24,0.518,77,13.7,3.1,26.4,0.257,0.171,CLE,2010,0.222,0.538,0.833
Cedric Jackson,-14.9,-10.4,-4.5,0.0,23,0.133,10,21.0,6.0,22.2,0.5,2.0,CLE,2010,0.0,0.0,0.25
Coby Karl,-40.3,-31.0,-9.4,-0.1,26,0.0,5,100.0,23.8,37.3,0.0,0.0,CLE,2010,0.0,0.0,0.0
Joe Johnson,2.7,3.4,-0.7,3.4,28,0.538,2886,8.8,7.1,26.3,0.253,0.194,ATL,2010,0.369,0.488,0.818
Josh Smith,5.1,2.4,2.7,5.1,24,0.536,2871,14.3,14.3,22.2,0.007,0.422,ATL,2010,0.0,0.508,0.618
Al Horford,2.3,1.8,0.5,3.1,23,0.594,2845,11.2,16.4,17.6,0.001,0.319,ATL,2010,1.0,0.551,0.789
Marvin Williams,-0.4,-0.4,0.1,1.0,23,0.54,2468,8.7,9.8,15.5,0.199,0.324,ATL,2010,0.303,0.492,0.819
Jamal Crawford,2.4,3.5,-1.1,2.7,29,0.573,2460,9.9,4.8,25.8,0.386,0.285,ATL,2010,0.382,0.491,0.857
Mike Bibby,-0.2,0.1,-0.2,1.0,31,0.538,2195,11.7,4.9,16.1,0.503,0.123,ATL,2010,0.389,0.444,0.861
Maurice Evans,-0.9,-0.4,-0.6,0.4,31,0.539,1317,4.5,6.8,15.4,0.43,0.155,ATL,2010,0.337,0.527,0.754
Zaza Pachulia,-2.5,-2.7,0.2,-0.1,25,0.539,1089,15.8,15.7,15.5,0.016,0.581,ATL,2010,0.0,0.496,0.65
Jeff Teague,-3.6,-3.8,0.3,-0.3,21,0.459,719,16.7,5.4,19.1,0.141,0.216,ATL,2010,0.219,0.426,0.837
Joe Smith,-5.5,-3.8,-1.6,-0.5,34,0.453,592,9.3,15.5,18.4,0.036,0.249,ATL,2010,0.143,0.409,0.813
Mario West,-2.1,-4.5,2.4,0.0,25,0.591,142,21.6,11.1,10.5,0.048,0.476,ATL,2010,0.0,0.6,0.6
Randolph Morris,-6.0,-5.9,-0.1,-0.1,24,0.586,124,18.5,17.9,24.1,0.0,0.659,ATL,2010,0.0,0.561,0.593
Jason Collins,-8.8,-8.3,-0.5,-0.2,31,0.335,115,17.3,7.1,11.6,0.043,0.087,ATL,2010,0.0,0.364,0.0
Othello Hunter,-11.9,-7.0,-4.9,-0.1,23,0.4,33,17.9,21.2,23.4,0.0,0.333,ATL,2010,0.0,0.333,0.75
Dwyane Wade,9.2,7.1,2.1,7.9,28,0.562,2792,12.2,7.8,34.9,0.161,0.465,MIA,2010,0.3,0.509,0.761
Michael Beasley,-0.8,-0.9,0.1,0.7,21,0.505,2328,10.3,12.6,25.8,0.098,0.231,MIA,2010,0.275,0.469,0.8
Udonis Haslem,-1.7,-0.8,-0.8,0.2,29,0.538,2177,9.5,17.0,17.1,0.0,0.305,MIA,2010,0.0,0.494,0.762
Quentin Richardson,1.3,0.4,0.8,1.7,29,0.572,2082,9.5,10.6,14.8,0.638,0.127,MIA,2010,0.397,0.493,0.732
Jermaine O'Neal,-0.1,-0.5,0.4,1.0,31,0.563,1991,12.9,14.3,22.9,0.003,0.302,MIA,2010,0.0,0.53,0.72
Mario Chalmers,-1.3,-2.3,1.1,0.3,23,0.519,1807,19.7,4.4,16.3,0.52,0.242,MIA,2010,0.318,0.491,0.745
Carlos Arroyo,-1.5,-1.5,0.1,0.2,30,0.529,1585,11.5,4.8,13.9,0.067,0.24,MIA,2010,0.28,0.489,0.844
Dorell Wright,1.8,0.7,1.2,1.5,24,0.567,1496,10.6,9.2,15.8,0.375,0.165,MIA,2010,0.389,0.508,0.884
Joel Anthony,-1.7,-3.4,1.7,0.1,27,0.546,1322,18.4,11.1,8.7,0.0,0.579,MIA,2010,0.0,0.478,0.717
Daequan Cook,-3.3,-2.9,-0.4,-0.2,22,0.422,691,8.3,7.0,19.6,0.498,0.099,MIA,2010,0.317,0.323,0.84
Rafer Alston,-3.4,-3.7,0.3,-0.2,33,0.456,655,15.8,4.8,15.4,0.479,0.16,MIA,2010,0.37,0.341,0.556
James Jones,-1.2,-1.4,0.2,0.1,29,0.556,503,7.7,5.3,13.3,0.756,0.235,MIA,2010,0.411,0.207,0.821
Jamaal Magloire,-5.5,-5.2,-0.3,-0.3,31,0.47,359,17.2,19.8,13.0,0.0,1.054,MIA,2010,0.0,0.5,0.356
Shavlik Randolph,-9.3,-7.1,-2.2,-0.1,26,0.333,47,11.8,16.3,17.0,0.0,0.0,MIA,2010,0.0,0.333,0.0
Yakhouba Diawara,-11.4,-10.5,-0.9,-0.1,27,0.25,44,23.1,5.3,13.9,0.6,0.0,MIA,2010,0.167,0.25,0.0
